external_gene_name,chromosome_name,transcript_biotype,is_coding
Gm28297,Y,lncRNA,False
Gm21753,Y,unprocessed_pseudogene,False
Gm21723,Y,lncRNA,False
Gm28462,Y,lncRNA,False
Gm20818,Y,unprocessed_pseudogene,False
Gm28296,Y,lncRNA,False
Gm21821,Y,lncRNA,False
Gm28295,Y,lncRNA,False
Gm20932,Y,unprocessed_pseudogene,False
Gm29134,Y,unprocessed_pseudogene,False
Gm28303,Y,unprocessed_pseudogene,False
Gm28304,Y,processed_pseudogene,False
Gm28824,Y,lncRNA,False
Gm21810,Y,unprocessed_pseudogene,False
Gm21916,Y,lncRNA,False
Gm29191,Y,lncRNA,False
Gm21756,Y,unprocessed_pseudogene,False
Gm28210,Y,lncRNA,False
Gm29074,Y,lncRNA,False
Gm28211,Y,unprocessed_pseudogene,False
Gm28518,Y,lncRNA,False
Gm28519,Y,lncRNA,False
Gm28520,Y,lncRNA,False
Gm21626,Y,lncRNA,False
Gm28433,Y,processed_pseudogene,False
Gm28521,Y,lncRNA,False
Gm28431,Y,lncRNA,False
Gm21633,Y,lncRNA,False
Gm28432,Y,lncRNA,False
Gm20886,Y,unprocessed_pseudogene,False
Gm28522,Y,lncRNA,False
Gm21808,Y,unprocessed_pseudogene,False
Gm21745,Y,unprocessed_pseudogene,False
Gm28517,Y,lncRNA,False
Gm29532,Y,lncRNA,False
Gm29531,Y,lncRNA,False
Gm28464,Y,lncRNA,False
Gm28841,Y,unprocessed_pseudogene,False
Gm29656,Y,lncRNA,False
Gm28842,Y,lncRNA,False
Gm28843,Y,unprocessed_pseudogene,False
Gm29655,Y,lncRNA,False
Gm28837,Y,unprocessed_pseudogene,False
Gm21647,Y,unprocessed_pseudogene,False
Gm29653,Y,lncRNA,False
Gm28838,Y,processed_pseudogene,False
Gm29654,Y,lncRNA,False
Gm28839,Y,lncRNA,False
Gm29651,Y,unprocessed_pseudogene,False
Gm20866,Y,unprocessed_pseudogene,False
Gm20868,Y,unprocessed_pseudogene,False
Gm29652,Y,unprocessed_pseudogene,False
Gm29080,Y,lncRNA,False
Gm21184,Y,unprocessed_pseudogene,False
Gm21201,Y,unprocessed_pseudogene,False
Gm28844,Y,processed_transcript__transcribed_processed_pseudogene,False
Gm21841,Y,unprocessed_pseudogene,False
Gm29081,Y,lncRNA,False
Gm29077,Y,lncRNA,False
Gm29076,Y,unprocessed_pseudogene,False
Gm29079,Y,unprocessed_pseudogene,False
Gm29078,Y,lncRNA,False
Gm20853,Y,unprocessed_pseudogene,False
Gm29075,Y,unprocessed_pseudogene,False
Gm20870,Y,protein_coding,True
Gm29225,Y,lncRNA,False
Gm28483,Y,unprocessed_pseudogene,False
Gm29226,Y,lncRNA,False
Gm28484,Y,unprocessed_pseudogene,False
Gm29227,Y,processed_pseudogene,False
Gm28480,Y,unprocessed_pseudogene,False
Gm20842,Y,unprocessed_pseudogene,False
Gm21880,Y,unprocessed_pseudogene,False
Gm29386,Y,lncRNA,False
Gm29384,Y,lncRNA,False
Gm21896,Y,unprocessed_pseudogene,False
Gm29280,Y,unprocessed_pseudogene,False
Gm20799,Y,unprocessed_pseudogene,False
Gm29279,Y,unprocessed_pseudogene,False
Gm29182,Y,lncRNA,False
Gm28260,Y,lncRNA,False
Gm21795,Y,unprocessed_pseudogene,False
Gm20844,Y,unprocessed_pseudogene,False
Gm28261,Y,unprocessed_pseudogene,False
Gm28264,Y,lncRNA,False
Gm21872,Y,unprocessed_pseudogene,False
Gm20798,Y,unprocessed_pseudogene,False
Gm28463,Y,lncRNA,False
Gm21757,Y,unprocessed_pseudogene,False
Gm28968,Y,unprocessed_pseudogene,False
Gm28495,Y,processed_pseudogene,False
Gm20846,Y,unprocessed_pseudogene,False
Gm20847,Y,unprocessed_pseudogene,False
Gm20848,Y,unprocessed_pseudogene,False
Gm21766,Y,unprocessed_pseudogene,False
Gm20800,Y,unprocessed_pseudogene,False
Gm21683,Y,unprocessed_pseudogene,False
Gm28468,Y,unprocessed_pseudogene,False
Gm20898,Y,unprocessed_pseudogene,False
Gm21855,Y,unprocessed_pseudogene,False
Gm29333,Y,unprocessed_pseudogene,False
Gm29255,Y,lncRNA,False
Gm20902,Y,unprocessed_pseudogene,False
Gm28332,Y,lncRNA,False
Gm28678,Y,unprocessed_pseudogene,False
Gm28333,Y,lncRNA,False
Gm28334,Y,unprocessed_pseudogene,False
Gm28335,Y,unprocessed_pseudogene,False
Gm20903,Y,protein_coding,True
Gm28336,Y,lncRNA,False
Gm28272,Y,unprocessed_pseudogene,False
Gm28337,Y,unprocessed_pseudogene,False
Gm29256,Y,processed_pseudogene,False
Gm28259,Y,lncRNA,False
Gm28338,Y,lncRNA,False
Gm28273,Y,unprocessed_pseudogene,False
Gm21715,Y,unprocessed_pseudogene,False
Gm29028,Y,lncRNA,False
Gm29029,Y,unprocessed_pseudogene,False
Gm29615,Y,unprocessed_pseudogene,False
Gm29030,Y,unprocessed_pseudogene,False
Gm29023,Y,lncRNA,False
Gm29024,Y,unprocessed_pseudogene,False
Gm29025,Y,lncRNA,False
Gm29026,Y,unprocessed_pseudogene,False
Gm28213,Y,unprocessed_pseudogene,False
Gm28212,Y,lncRNA,False
Gm21799,Y,unprocessed_pseudogene,False
Gm28227,Y,unprocessed_pseudogene,False
Gm20905,Y,protein_coding,True
Gm29411,Y,unprocessed_pseudogene,False
Gm28222,Y,unprocessed_pseudogene,False
Gm21835,Y,unprocessed_pseudogene,False
Gm28820,Y,lncRNA,False
Gm28223,Y,processed_pseudogene,False
Gm29412,Y,unprocessed_pseudogene,False
Gm29413,Y,unprocessed_pseudogene,False
Gm29671,Y,lncRNA,False
Gm21878,Y,unprocessed_pseudogene,False
Gm28162,Y,unprocessed_pseudogene,False
Gm28789,Y,lncRNA,False
Gm20922,Y,unprocessed_pseudogene,False
Gm20738,Y,protein_coding,True
Gm20814,Y,protein_coding,True
Gm28787,Y,unprocessed_pseudogene,False
Gm28788,Y,processed_pseudogene,False
Gm28545,Y,lncRNA,False
Gm28547,Y,lncRNA,False
Gm29278,Y,lncRNA,False
Gm28546,Y,unprocessed_pseudogene,False
Gm21922,Y,unprocessed_pseudogene,False
Gm21924,Y,unprocessed_pseudogene,False
Gm21111,Y,unprocessed_pseudogene,False
Gm21735,Y,unprocessed_pseudogene,False
Gm28608,Y,unprocessed_pseudogene,False
Gm28607,Y,unprocessed_pseudogene,False
Gm28771,Y,lncRNA,False
Gm28772,Y,lncRNA,False
Gm28606,Y,lncRNA,False
Gm28773,Y,unprocessed_pseudogene,False
Gm20850,Y,protein_coding,True
Gm20897,Y,protein_coding,True
Gm29574,Y,unprocessed_pseudogene,False
Gm28774,Y,lncRNA,False
Gm29575,Y,processed_pseudogene,False
Gm28775,Y,lncRNA,False
Gm21765,Y,unprocessed_pseudogene,False
Gapdh-ps15,Y,processed_pseudogene,False
Gm28776,Y,unprocessed_pseudogene,False
Gm21787,Y,unprocessed_pseudogene,False
Gm28770,Y,unprocessed_pseudogene,False
Gm20901,Y,unprocessed_pseudogene,False
Gm28176,Y,lncRNA,False
Gm28786,Y,lncRNA,False
Gm29360,Y,lncRNA,False
Gm28121,Y,unprocessed_pseudogene,False
Gm29496,Y,unprocessed_pseudogene,False
Gm29497,Y,lncRNA,False
Gm29499,Y,unprocessed_pseudogene,False
Gm28123,Y,unprocessed_pseudogene,False
Gm28120,Y,processed_pseudogene,False
Gm29313,Y,lncRNA,False
Gm29498,Y,lncRNA,False
Gm21180,Y,unprocessed_pseudogene,False
Gm36782,Y,lncRNA,False
Gm20859,Y,unprocessed_pseudogene,False
Gm29839,Y,lncRNA,False
Gm29314,Y,unprocessed_pseudogene,False
Gm29495,Y,unprocessed_pseudogene,False
Gm29310,Y,unprocessed_pseudogene,False
Gm29311,Y,lncRNA,False
Gm21638,Y,unprocessed_pseudogene,False
Gm29312,Y,unprocessed_pseudogene,False
Gm29308,Y,processed_pseudogene,False
Gm29309,Y,lncRNA,False
Gm28702,Y,lncRNA,False
Gm28701,Y,lncRNA,False
Gm28700,Y,unprocessed_pseudogene,False
Gm28699,Y,unprocessed_pseudogene,False
Gm28705,Y,processed_pseudogene,False
Gm28704,Y,lncRNA,False
Gm28540,Y,lncRNA,False
Gm28537,Y,processed_pseudogene,False
Gm28538,Y,lncRNA,False
Gm29569,Y,lncRNA,False
Gm20867,Y,protein_coding,True
Gm21658,Y,unprocessed_pseudogene,False
Gm29568,Y,lncRNA,False
Gm29567,Y,unprocessed_pseudogene,False
Gm21198,Y,unprocessed_pseudogene,False
Gm29566,Y,lncRNA,False
Gm29565,Y,lncRNA,False
Gm29147,Y,unprocessed_pseudogene,False
Gm29146,Y,lncRNA,False
Gm28664,Y,lncRNA,False
Gm28663,Y,lncRNA,False
Gm29149,Y,unprocessed_pseudogene,False
Gm29148,Y,processed_pseudogene,False
Gm29145,Y,unprocessed_pseudogene,False
Gm29144,Y,unprocessed_pseudogene,False
Gm28817,Y,lncRNA,False
Gm28816,Y,lncRNA,False
Gm20808,Y,unprocessed_pseudogene,False
Gm20806,Y,protein_coding,True
Gm28815,Y,unprocessed_pseudogene,False
Gm28814,Y,unprocessed_pseudogene,False
Gm28813,Y,lncRNA,False
Gm29274,Y,lncRNA,False
Gm29275,Y,lncRNA,False
Gm29276,Y,protein_coding,True
Gm21805,Y,unprocessed_pseudogene,False
Gm29645,Y,lncRNA,False
Gm28312,Y,lncRNA,False
Gm29165,Y,unprocessed_pseudogene,False
Gm21242,Y,unprocessed_pseudogene,False
Gm29042,Y,lncRNA,False
Gm29031,Y,unprocessed_pseudogene,False
Gm28311,Y,lncRNA,False
Gm29032,Y,unprocessed_pseudogene,False
Gm28310,Y,lncRNA,False
Gm29606,Y,lncRNA,False
Gm28504,Y,unprocessed_pseudogene,False
Gm29607,Y,unprocessed_pseudogene,False
Gm28567,Y,unprocessed_pseudogene,False
Gm21248,Y,processed_pseudogene,False
Gm28568,Y,lncRNA,False
Gm29189,Y,unprocessed_pseudogene,False
Gm29286,Y,lncRNA,False
Gm29285,Y,lncRNA,False
Gm28280,Y,lncRNA,False
Gm21241,Y,unprocessed_pseudogene,False
Gm28159,Y,unprocessed_pseudogene,False
Gm28278,Y,lncRNA,False
Gm28160,Y,unprocessed_pseudogene,False
Gm28157,Y,lncRNA,False
Gm28158,Y,unprocessed_pseudogene,False
Gm21257,Y,unprocessed_pseudogene,False
Gm28161,Y,unprocessed_pseudogene,False
Gm28695,Y,unprocessed_pseudogene,False
Gm28696,Y,lncRNA,False
Gm20791,Y,unprocessed_pseudogene,False
Gm28886,Y,lncRNA,False
Gm20841,Y,unprocessed_pseudogene,False
Gm28899,Y,unprocessed_pseudogene,False
Gm29426,Y,lncRNA,False
Gm28885,Y,processed_pseudogene,False
Gm21856,Y,unprocessed_pseudogene,False
Gm28887,Y,lncRNA,False
Gm28896,Y,unprocessed_pseudogene,False
Gm29444,Y,lncRNA,False
Gm21282,Y,unprocessed_pseudogene,False
Gm21783,Y,unprocessed_pseudogene,False
Gm28895,Y,unprocessed_pseudogene,False
Gm29445,Y,lncRNA,False
Gm28894,Y,unprocessed_pseudogene,False
Gm21829,Y,unprocessed_pseudogene,False
Gm28457,Y,lncRNA,False
Gm29324,Y,lncRNA,False
Gm21779,Y,unprocessed_pseudogene,False
Gm28741,Y,lncRNA,False
Gm20912,Y,unprocessed_pseudogene,False
Gm20801,Y,unprocessed_pseudogene,False
Gm28742,Y,unprocessed_pseudogene,False
Gm28458,Y,lncRNA,False
Gm21919,Y,unprocessed_pseudogene,False
Gm28743,Y,lncRNA,False
Gm28459,Y,unprocessed_pseudogene,False
Gm28461,Y,lncRNA,False
Gm28124,Y,lncRNA,False
Gm21790,Y,unprocessed_pseudogene,False
Gm21728,Y,unprocessed_pseudogene,False
Gm28460,Y,lncRNA,False
Gm28126,Y,lncRNA,False
Gm28851,Y,lncRNA,False
Gm28125,Y,unprocessed_pseudogene,False
Gm28456,Y,lncRNA,False
Gm21825,Y,unprocessed_pseudogene,False
Gm29073,Y,unprocessed_pseudogene,False
Gm29648,Y,lncRNA,False
Gm29647,Y,unprocessed_pseudogene,False
Gm29468,Y,unprocessed_pseudogene,False
Gm29646,Y,lncRNA,False
Gm29469,Y,processed_pseudogene,False
Gm29472,Y,lncRNA,False
Gm28549,Y,lncRNA,False
Gm29473,Y,lncRNA,False
Gm29211,Y,unprocessed_pseudogene,False
Gm29470,Y,unprocessed_pseudogene,False
Gm29212,Y,unprocessed_pseudogene,False
Gm21333,Y,unprocessed_pseudogene,False
Gm21247,Y,unprocessed_pseudogene,False
Gm29382,Y,unprocessed_pseudogene,False
Gm28224,Y,unprocessed_pseudogene,False
Gm29210,Y,lncRNA,False
Gm28226,Y,lncRNA,False
Gm29213,Y,lncRNA,False
Gm28225,Y,lncRNA,False
Gm28550,Y,lncRNA,False
Gm21344,Y,unprocessed_pseudogene,False
Gm28604,Y,lncRNA,False
Gm20849,Y,unprocessed_pseudogene,False
Gm28603,Y,unprocessed_pseudogene,False
Gm28829,Y,unprocessed_pseudogene,False
Gm21901,Y,unprocessed_pseudogene,False
Gm28565,Y,lncRNA,False
Gm28566,Y,lncRNA,False
Gm28697,Y,lncRNA,False
Gm28828,Y,unprocessed_pseudogene,False
Gm28554,Y,lncRNA,False
Gm28831,Y,unprocessed_pseudogene,False
Gm28832,Y,lncRNA,False
Gm21864,Y,unprocessed_pseudogene,False
Gm21802,Y,unprocessed_pseudogene,False
Gm28658,Y,unprocessed_pseudogene,False
Gm29238,Y,unprocessed_pseudogene,False
Gm29056,Y,lncRNA,False
Gm21088,Y,unprocessed_pseudogene,False
Gm29239,Y,unprocessed_pseudogene,False
Gm29098,Y,lncRNA,False
Gm54343,Y,rRNA,False
Gm21170,Y,unprocessed_pseudogene,False
Gm21741,Y,unprocessed_pseudogene,False
Gm29373,Y,lncRNA,False
Gm20862,Y,unprocessed_pseudogene,False
Gm54344,Y,rRNA,False
Gm29370,Y,lncRNA,False
Gm20863,Y,unprocessed_pseudogene,False
Gm21751,Y,unprocessed_pseudogene,False
Gm20864,Y,unprocessed_pseudogene,False
Gm29476,Y,unprocessed_pseudogene,False
Gm29166,Y,lncRNA,False
Gm21717,Y,unprocessed_pseudogene,False
Gm28194,Y,lncRNA,False
Gm28753,Y,lncRNA,False
Gm21191,Y,unprocessed_pseudogene,False
Gm21271,Y,unprocessed_pseudogene,False
Gm28475,Y,lncRNA,False
Gm28476,Y,unprocessed_pseudogene,False
Gm21281,Y,unprocessed_pseudogene,False
Gm21380,Y,unprocessed_pseudogene,False
Gm28193,Y,unprocessed_pseudogene,False
Gm21782,Y,unprocessed_pseudogene,False
Gm28751,Y,unprocessed_pseudogene,False
Gm28752,Y,unprocessed_pseudogene,False
Gm28726,Y,lncRNA,False
Gm21308,Y,unprocessed_pseudogene,False
Gm29267,Y,unprocessed_pseudogene,False
Gm29268,Y,unprocessed_pseudogene,False
Gm21879,Y,processed_pseudogene,False
Gm29269,Y,unprocessed_pseudogene,False
Gm28757,Y,unprocessed_pseudogene,False
Gm29270,Y,lncRNA,False
Gm20856,Y,unprocessed_pseudogene,False
Gm28348,Y,lncRNA,False
Gm28973,Y,unprocessed_pseudogene,False
Gm29271,Y,lncRNA,False
Gm21734,Y,unprocessed_pseudogene,False
Gm28972,Y,lncRNA,False
Gm28970,Y,lncRNA,False
Gm28971,Y,lncRNA,False
Gm54345,Y,rRNA,False
Gm21785,Y,unprocessed_pseudogene,False
Gm20854,Y,protein_coding,True
Gm28349,Y,unprocessed_pseudogene,False
Gm21892,Y,unprocessed_pseudogene,False
Gm28346,Y,lncRNA,False
Gm28345,Y,lncRNA,False
Gm29090,Y,lncRNA,False
Gm28152,Y,lncRNA,False
Gm54346,Y,rRNA,False
Gm21881,Y,unprocessed_pseudogene,False
Gm21435,Y,unprocessed_pseudogene,False
Gm29505,Y,unprocessed_pseudogene,False
Gm21862,Y,unprocessed_pseudogene,False
Gm28823,Y,lncRNA,False
Gm28871,Y,unprocessed_pseudogene,False
Gm28220,Y,lncRNA,False
Gm29512,Y,unprocessed_pseudogene,False
Gm29511,Y,lncRNA,False
Gm20820,Y,protein_coding,True
Gm20880,Y,unprocessed_pseudogene,False
Gm28219,Y,unprocessed_pseudogene,False
Gm20881,Y,unprocessed_pseudogene,False
Gm28218,Y,lncRNA,False
Gm29121,Y,unprocessed_pseudogene,False
Gm54347,Y,rRNA,False
Gm29120,Y,unprocessed_pseudogene,False
Gm20861,Y,unprocessed_pseudogene,False
Gm29117,Y,lncRNA,False
Gm20860,Y,unprocessed_pseudogene,False
Gm28057,Y,unprocessed_pseudogene,False
Gm21796,Y,unprocessed_pseudogene,False
Gm29302,Y,lncRNA,False
Gm20883,Y,protein_coding,True
Gm29119,Y,unprocessed_pseudogene,False
Gm29118,Y,unprocessed_pseudogene,False
Gm28440,Y,lncRNA,False
Gm29299,Y,unprocessed_pseudogene,False
Gm29116,Y,lncRNA,False
Gm20889,Y,unprocessed_pseudogene,False
Gm29298,Y,unprocessed_pseudogene,False
Gm20887,Y,unprocessed_pseudogene,False
Gm29092,Y,processed_pseudogene,False
Gm29091,Y,lncRNA,False
Gm29320,Y,unprocessed_pseudogene,False
Gm21849,Y,unprocessed_pseudogene,False
Gm29297,Y,lncRNA,False
Gm21462,Y,unprocessed_pseudogene,False
Gm21470,Y,unprocessed_pseudogene,False
Gm28366,Y,unprocessed_pseudogene,False
Gm29319,Y,unprocessed_pseudogene,False
Gm28317,Y,lncRNA,False
Gm28318,Y,lncRNA,False
Gm20884,Y,unprocessed_pseudogene,False
Gm28313,Y,lncRNA,False
Gm28314,Y,unprocessed_pseudogene,False
Gm28315,Y,lncRNA,False
Gm29115,Y,unprocessed_pseudogene,False
Gm21813,Y,unprocessed_pseudogene,False
Gm28316,Y,lncRNA,False
Gm21387,Y,unprocessed_pseudogene,False
Gm21396,Y,unprocessed_pseudogene,False
Gm28944,Y,lncRNA,False
Gm20906,Y,protein_coding,True
Gm28943,Y,unprocessed_pseudogene,False
Gm29111,Y,unprocessed_pseudogene,False
Gm28946,Y,unprocessed_pseudogene,False
Gm28110,Y,processed_pseudogene,False
Gm28945,Y,lncRNA,False
Gm28109,Y,lncRNA,False
Gm28108,Y,lncRNA,False
Gm28107,Y,unprocessed_pseudogene,False
Gm28106,Y,unprocessed_pseudogene,False
Gm28949,Y,unprocessed_pseudogene,False
Gm28948,Y,lncRNA,False
Gm28716,Y,unprocessed_pseudogene,False
Gm28717,Y,processed_pseudogene,False
Gm28718,Y,lncRNA,False
Gm28950,Y,lncRNA,False
Gm21245,Y,unprocessed_pseudogene,False
Gm29162,Y,lncRNA,False
Gm29169,Y,unprocessed_pseudogene,False
Gm21777,Y,unprocessed_pseudogene,False
Gm21899,Y,unprocessed_pseudogene,False
Gm28866,Y,lncRNA,False
Gm29063,Y,lncRNA,False
Gm28737,Y,unprocessed_pseudogene,False
Gm28405,Y,lncRNA,False
Gm21792,Y,unprocessed_pseudogene,False
Gm28738,Y,unprocessed_pseudogene,False
Gm28406,Y,lncRNA,False
Gm20923,Y,unprocessed_pseudogene,False
Gm28978,Y,unprocessed_pseudogene,False
Gm29436,Y,lncRNA,False
Gm28197,Y,lncRNA,False
Gm20819,Y,unprocessed_pseudogene,False
Gm21249,Y,unprocessed_pseudogene,False
Gm29437,Y,unprocessed_pseudogene,False
Gm28736,Y,unprocessed_pseudogene,False
Gm28977,Y,lncRNA,False
Gm21840,Y,unprocessed_pseudogene,False
Gm28407,Y,lncRNA,False
Gm21287,Y,unprocessed_pseudogene,False
Gm29390,Y,unprocessed_pseudogene,False
Gm28735,Y,lncRNA,False
Gm29391,Y,unprocessed_pseudogene,False
Gm21720,Y,unprocessed_pseudogene,False
Gm29392,Y,lncRNA,False
Gm28672,Y,lncRNA,False
Gm28734,Y,unprocessed_pseudogene,False
Gm21838,Y,unprocessed_pseudogene,False
Gm28232,Y,unprocessed_pseudogene,False
Gm28670,Y,lncRNA,False
Gm28671,Y,unprocessed_pseudogene,False
Gm28732,Y,lncRNA,False
Gm28673,Y,lncRNA,False
Gm28733,Y,lncRNA,False
Gm28674,Y,lncRNA,False
Gm21268,Y,unprocessed_pseudogene,False
Gm21275,Y,unprocessed_pseudogene,False
Gm28233,Y,lncRNA,False
Gm28235,Y,lncRNA,False
Gm28234,Y,unprocessed_pseudogene,False
Gm21902,Y,unprocessed_pseudogene,False
Gm21803,Y,unprocessed_pseudogene,False
Gm28930,Y,lncRNA,False
Gm20879,Y,unprocessed_pseudogene,False
Gm28236,Y,lncRNA,False
Gm21285,Y,unprocessed_pseudogene,False
Gm29504,Y,lncRNA,False
Gm20747,Y,protein_coding,True
Gm29250,Y,lncRNA,False
Gm29251,Y,unprocessed_pseudogene,False
Gm21906,Y,unprocessed_pseudogene,False
Gm29252,Y,lncRNA,False
Gm29248,Y,lncRNA,False
Gm29249,Y,unprocessed_pseudogene,False
Gm29484,Y,unprocessed_pseudogene,False
Gm21920,Y,unprocessed_pseudogene,False
Gm28908,Y,lncRNA,False
Gm28907,Y,unprocessed_pseudogene,False
Gm21749,Y,unprocessed_pseudogene,False
Gm20929,Y,protein_coding,True
Gm28910,Y,unprocessed_pseudogene,False
Gm28909,Y,processed_pseudogene,False
Gm28276,Y,lncRNA,False
Gm28274,Y,lncRNA,False
Gm28275,Y,unprocessed_pseudogene,False
Gm21302,Y,unprocessed_pseudogene,False
Gm28290,Y,unprocessed_pseudogene,False
Gm28292,Y,unprocessed_pseudogene,False
Gm28291,Y,lncRNA,False
Gm28293,Y,lncRNA,False
Gm21740,Y,unprocessed_pseudogene,False
Gm21912,Y,unprocessed_pseudogene,False
Gm28698,Y,unprocessed_pseudogene,False
Gm29304,Y,unprocessed_pseudogene,False
Gm29305,Y,lncRNA,False
Gm29303,Y,lncRNA,False
Gm21894,Y,unprocessed_pseudogene,False
Gm29307,Y,unprocessed_pseudogene,False
Gm29557,Y,lncRNA,False
Gm54348,Y,rRNA,False
Gm20927,Y,unprocessed_pseudogene,False
Gm20930,Y,unprocessed_pseudogene,False
Gm29306,Y,unprocessed_pseudogene,False
Gm29300,Y,unprocessed_pseudogene,False
Gm29301,Y,lncRNA,False
Gm29558,Y,unprocessed_pseudogene,False
Gm29555,Y,lncRNA,False
Gm21733,Y,unprocessed_pseudogene,False
Gm21330,Y,unprocessed_pseudogene,False
Gm28355,Y,lncRNA,False
Gm28354,Y,unprocessed_pseudogene,False
Gm28353,Y,unprocessed_pseudogene,False
Gm28352,Y,lncRNA,False
Gm28200,Y,processed_pseudogene,False
Gm28201,Y,lncRNA,False
Gm28202,Y,lncRNA,False
Gm28203,Y,processed_pseudogene,False
Gm21340,Y,unprocessed_pseudogene,False
Gm28204,Y,unprocessed_pseudogene,False
Gm28205,Y,unprocessed_pseudogene,False
Gm28206,Y,lncRNA,False
Gm28207,Y,lncRNA,False
Gm28208,Y,lncRNA,False
Gm21851,Y,unprocessed_pseudogene,False
Gm21819,Y,unprocessed_pseudogene,False
Gm29224,Y,unprocessed_pseudogene,False
Gm29223,Y,unprocessed_pseudogene,False
Gm29222,Y,lncRNA,False
Gm29221,Y,lncRNA,False
Gm29220,Y,lncRNA,False
Gm21815,Y,unprocessed_pseudogene,False
Gm29132,Y,lncRNA,False
Gm21450,Y,lncRNA,False
Gm21843,Y,unprocessed_pseudogene,False
Gm28889,Y,lncRNA,False
Gm28691,Y,lncRNA,False
Gm28692,Y,lncRNA,False
Gm20794,Y,unprocessed_pseudogene,False
Gm28690,Y,lncRNA,False
Gm28689,Y,lncRNA,False
Gm28687,Y,lncRNA,False
Gm20987,Y,lncRNA,False
Gm21918,Y,unprocessed_pseudogene,False
Gm29207,Y,lncRNA,False
Gm29204,Y,lncRNA,False
Gm21489,Y,unprocessed_pseudogene,False
Gm21832,Y,unprocessed_pseudogene,False
Gm21573,Y,unprocessed_pseudogene,False
Gm28179,Y,processed_transcript__transcribed_processed_pseudogene,False
Gm21577,Y,unprocessed_pseudogene,False
Gm29206,Y,lncRNA,False
Gm29614,Y,unprocessed_pseudogene,False
Gm29613,Y,processed_pseudogene,False
Gm29612,Y,lncRNA,False
Gm29343,Y,lncRNA,False
Gm29342,Y,lncRNA,False
Gm20804,Y,unprocessed_pseudogene,False
Gm28598,Y,unprocessed_pseudogene,False
Gm28599,Y,unprocessed_pseudogene,False
Gm28185,Y,unprocessed_pseudogene,False
Gm29037,Y,unprocessed_pseudogene,False
Gm20823,Y,protein_coding,True
Gm21877,Y,unprocessed_pseudogene,False
Gm29548,Y,unprocessed_pseudogene,False
Gm29547,Y,lncRNA,False
Gm29546,Y,unprocessed_pseudogene,False
Gm29545,Y,transcribed_unprocessed_pseudogene,False
Gm29544,Y,processed_pseudogene,False
Gm29209,Y,lncRNA,False
Gm29549,Y,lncRNA,False
Gm21530,Y,unprocessed_pseudogene,False
Gm21617,Y,transcribed_unprocessed_pseudogene,False
Gm28589,Y,unprocessed_pseudogene,False
